,Name,Type,Score,Rank,Popularity,Members,URL
68,Inazuma Eleven: Orion no Kokuin,TV (Continuing),7.23,#2783,#4938,"6,372",https://myanimelist.net/anime/38235/Inazuma_Eleven__Orion_no_Kokuin
69,Doraemon (2005),TV (Continuing),7.54,#1559,#4963,"6,295",https://myanimelist.net/anime/8687/Doraemon_2005
70,Cardfight!! Vanguard (2018),TV (Continuing),7.11,#3270,#5796,"4,287",https://myanimelist.net/anime/37476/Cardfight_Vanguard_2018
71,Nintama Rantarou,TV (Continuing),7.15,#3140,#6174,"3,660",https://myanimelist.net/anime/1199/Nintama_Rantarou
72,StarâTwinkle Precure,TV (Continuing),7.26,#2669,#6187,"3,644",https://myanimelist.net/anime/38578/StarâTwinkle_Precure
73,Zoids Wild,TV (Continuing),5.64,#9103,#6248,"3,535",https://myanimelist.net/anime/37395/Zoids_Wild
74,Sazae-san,TV (Continuing),6.26,#7078,#6404,"3,337",https://myanimelist.net/anime/2406/Sazae-san
75,Chibi Maruko-chan (1995),TV (Continuing),7.29,#2518,#7439,"2,128",https://myanimelist.net/anime/6149/Chibi_Maruko-chan_1995
76,Bonobono (2016),TV (Continuing),6.46,#6117,#7743,"1,867",https://myanimelist.net/anime/32353/Bonobono_2016
77,Shinkansen Henkei Robo Shinkalion The Animation,TV (Continuing),6.18,#7413,#7844,"1,779",https://myanimelist.net/anime/36531/Shinkansen_Henkei_Robo_Shinkalion_The_Animation
78,Sore Ike! Anpanman,TV (Continuing),6.57,#5654,#8222,"1,494",https://myanimelist.net/anime/1960/Sore_Ike_Anpanman
79,Ojarumaru,TV (Continuing),6.36,#6639,#9287,909,https://myanimelist.net/anime/4459/Ojarumaru
80,Yasamura Yasashi no Yasashii Sekai,TV (Continuing),5.52,#9410,#9669,749,https://myanimelist.net/anime/33933/Yasamura_Yasashi_no_Yasashii_Sekai
81,Yodel no Onna,TV (Continuing),5.64,#9102,#9825,687,https://myanimelist.net/anime/36409/Yodel_no_Onna
82,Puzzle & Dragon,TV (Continuing),5.56,#13105,#10012,628,https://myanimelist.net/anime/37096/Puzzle___Dragon
83,Neko Konogoro,TV (Continuing),4.25,#12698,#10218,573,https://myanimelist.net/anime/33398/Neko_Konogoro
84,Neko no Robu,TV (Continuing),5.64,#12708,#10253,565,https://myanimelist.net/anime/35478/Neko_no_Robu
85,Asa da yo! Kaishain,TV (Continuing),4.53,#10924,#10533,493,https://myanimelist.net/anime/33044/Asa_da_yo_Kaishain
86,Usagi no Matthew,TV (Continuing),5.35,#13857,#10593,483,https://myanimelist.net/anime/37467/Usagi_no_Matthew
87,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,TV (Continuing),5.68,#12011,#10598,482,https://myanimelist.net/anime/30151/Kamiusagi_Rope__Warau_Asa_ni_wa_Fukuraitaru_tte_Maji_ssuka
88,Knyacki!,TV (Continuing),6.24,#7158,#10675,465,https://myanimelist.net/anime/7505/Knyacki
89,Neko to Mata,TV (Continuing),5.68,#12711,#10845,425,https://myanimelist.net/anime/35444/Neko_to_Mata
90,Nyanpuku Nyaruma,TV (Continuing),4.03,#12812,#10993,397,https://myanimelist.net/anime/24403/Nyanpuku_Nyaruma
91,Oshiri Tantei,TV (Continuing),5.53,#12922,#11167,368,https://myanimelist.net/anime/35656/Oshiri_Tantei
92,Shiawase Haitatsu Taneko,TV (Continuing),5.56,#13295,#11205,360,https://myanimelist.net/anime/10506/Shiawase_Haitatsu_Taneko
93,Hinomaru!,TV (Continuing),6.05,#11709,#11319,342,https://myanimelist.net/anime/36231/Hinomaru
94,Kirakira HappyâHirake! Cocotama,TV (Continuing),6.02,#12146,#11346,337,https://myanimelist.net/anime/37968/Kirakira_HappyâHirake_Cocotama
95,Hanakappa,TV (Continuing),6.02,#11584,#11459,316,https://myanimelist.net/anime/8336/Hanakappa
96,Aware! Meisaku-kun,TV (Continuing),4.38,#10948,#11549,304,https://myanimelist.net/anime/32956/Aware_Meisaku-kun
97,Kekkero Ke,TV (Continuing),5.10,#12061,#11715,281,https://myanimelist.net/anime/37359/Kekkero_Ke
